Zeile,Name,Typ,Kard,Bedeutung (Quelle),"Beispiel/e
Wertebereich / Anzahl Stellen",MVP,,,,,,,,,,,,,,,,,,,
Mitarbeiter,settings,UserSetting,+,Verweis,,,,,,,,,,,,,,,,,,,,,
Mitarbeiter,avatar,binary,?,Profilbild,,,,,,,,,,,,,,,,,,,,,
Mitarbeiter,gutachter,Gutachter,1,Referenz auf den Gutachter für den der Mitarbeiter tätig ist,,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,anrede,string,1,,Frau / Herr,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,titel,string,?,,Dr./Graf/Prof.,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,nachname,string,1,,"Günther-Bartholow
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,vorname,string,1,,"Gerd
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,namenszusatz,string,?,,max. 25 Zeichen,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,adresse,Adresse,1,,,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,kontakte,Kontakt,+,Pflicht eLogin: eMail und Telefonnummer,,1,,,,,,,,,,,,,,,,,,,
Administrator,,,,"Interner fachlicher Administrator
Mehrere Rollen bei einem Mitarbeiter vs. mehrere Rechte zu Rollen und dann eine Rolle bei Mitarbeiter",,,,,,,,,,,,,,,,,,,,,
Administrator,userid,uuid,1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
Administrator,created,string (datetime),1,wann wurde der User erstellt,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Administrator,lastLogin,LastLogin,?,,,,,,,,,,,,,,,,,,,,,,
Administrator,gesperrtSeit,string (datetime),?,Wann wurde der User gesperrt?,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Administrator,rollen,string,+,"(Gutachter, Gutachtermitarbeiter, Admin, ... )",,1,,,,,,,,,,,,,,,,,,,
Administrator,status,string (enum),1,"z.b. active, locked, unverified ...",,1,,,,,,,,,,,,,,,,,,,
Administrator,settings,UserSetting,+,Verweis,,,,,,,,,,,,,,,,,,,,,
Administrator,avatar,binary,?,Profilbild,,,,,,,,,,,,,,,,,,,,,
Administrator,traeger,Träger,1,,,1,,,,,,,,,,,,,,,,,,,
Administrator,anrede,string,1,,Frau / Herr,1,,,,,,,,,,,,,,,,,,,
Administrator,titel,string,?,,Dr./Graf/Prof.,1,,,,,,,,,,,,,,,,,,,
Administrator,nachname,string,1,,"Günther-Bartholow
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Administrator,vorname,string,1,,"Gerd
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Administrator,namenszusatz,string,?,,max. 25 Zeichen,1,,,,,,,,,,,,,,,,,,,
Administrator,adresse,Adresse,1,,,1,,,,,,,,,,,,,,,,,,,
Administrator,kontakte,Kontakt,+,,,1,,,,,,,,,,,,,,,,,,,
LastLogin,,,,,,,,,,,,,,,,,,,,,,,,,
LastLogin,logintimestamp,string (datetime),1,Zeitstempel des letzten Logins,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
LastLogin,ip,string,1,IP-Adresse des letzten Logins,,1,,,,,,,,,,,,,,,,,,,
UserSetting,,,,,,,,,,,,,,,,,,,,,,,,,
UserSetting,key,string,,"Einstellungen, die ein User getroffen hat (z.b. bei welchem Ereignis dieser wie benachrichtigt werden will oder präferierte Zeitzone, etc...)",,,,,,,,,,,,,,,,,,,,,
UserSetting,value,string,,,,,,,,,,,,,,,,,,,,,,,
Kontakt,,,,,,,,,,,,,,,,,,,,,,,,,
Kontakt,typ,ENUM,1,"""Email"", ""Telefon"", ""unbekannt""",,1,,,,,,,,,,,,,,,,,,,
Kontakt,wert,string,*,"Telefonnummer, Emailadresse",,1,,,,,,,,,,,,,,,,,,,
Kontakt,anmerkung,string,1,"(primär, privat, dienstlich oder mobil, fax)",,1,,,,,,,,,,,,,,,,,,,
Adresse,,,,,,1,,,,,,,,,,,,,,,,,,,
Adresse,strasse,string,1,,,1,,,,,,,,,,,,,,,,,,,
Adresse,hausnummer,string,?,,,1,,,,,,,,,,,,,,,,,,,
Adresse,plz,string,1,,,1,,,,,,,,,,,,,,,,,,,
Adresse,ort,string,1,,,1,,,,,,,,,,,,,,,,,,,
Adresse,adresszusatz,string,?,,,,,,,,,,,,,,,,,,,,,,
Adresse,postfach,string,?,,,,,,,,,,,,,,,,,,,,,,
Adresse,land,string,?,,,,,,,,,,,,,,,,,,,,,,
Adresse,typ,ENUM,1,"zur Unterscheidung bei mehreren Adressen: ""Wohnadresse"", ""Postadresse"", ...",,1,,,,,,,,,,,,,,,,,,,
Proband,,,,,,,,,,,,,,,,,,,,,,,,,
Proband,vsnr,string,1,Versicherungsnummer des Probanden (Quelle: rvSMD),,1,,,,,,,,,,,,,,,,,,,
Proband,gebdatum,string(date),1,yyyy-mm-dd steht in der VSNR (Quelle: rvSMD),yyyy-mm-dd,1,,,,,,,,,,,,,,,,,,,
Proband,name,string,1,Nachname des Probanden (Quelle: rvSMD),,1,,,,,,,,,,,,,,,,,,,
Proband,vorname,string,1,Vorname des Probanden (Quelle: rvSMD),,1,,,,,,,,,,,,,,,,,,,
Proband,contacts,Kontakt,+,Verweis,,,,,,,,,,,,,,,,,,,,,
Proband,adresse,Adresse,?,Verweis,,,,,,,,,,,,,,,,,,,,,
Auftrag,,,,,,,,,,,,,,,,,,,,,,,,,
Auftrag,auftragsId,string(uuid),1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
Auftrag,rvPurAuftragsID,string,1,rvPuR-AuftragsID anhand derer die Dokumente aus rvPuR/rvArchiv ermittelt werden,,1,,,,,,,,,,,,,,,,,,,
Auftrag,proband,Proband,1,Verweis (Quelle: rvSMD),,1,,,,,,,,,,,,,,,,,,,
Auftrag,gutachter,Gutachter,1,Verweis (Quelle: rvSMD),,1,,,,,,,,,,,,,,,,,,,
Auftrag,kennzeichen1,string,?,charakterisieren das Gutachten nochmals näher.,,,,,,,,,,,,,,,,,,,,,
Auftrag,kennzeichen2,string,?,charakterisieren das Gutachten nochmals näher.,,,,,,,,,,,,,,,,,,,,,
Auftrag,gutachtenstatus,Gutachtenstatus,+,Verweis,,1,,,,,,,,,,,,,,,,,,,
Auftrag,anhang,Document,*,Verweis,,1,,,,,,,,,,,,,,,,,,,
Auftrag,gutachten,Gutachten,?,Verweis,,,,,,,,,,,,,,,,,,,,,
Auftrag,auftraggeber,Träger,1,"Sagt aus, durch welchen Träger die Beauftragung erfolgte. (Quelle: rvSMD)",,1,,,,,,,,,,,,,,,,,,,
Auftrag,auftragsDatum,string(date),1,Wann wurde das Gutachten in rvSMD für den Gutachter beauftragt. (Quelle: rvSMD),yyyy-mm-dd,1,,,,,,,,,,,,,,,,,,,
Auftrag,eingangsDatum,string(datetime),1,Wann ist der Auftrag in rvGutachten angekommen.,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Auftrag,stornierungsDatum,string(datetime),?,Wann wurde der Auftrag storniert? Wichtig für Einhaltung von Löschfristen. (Quelle: rvSMD),yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Auftrag,bereitstellungsDatum,string(datetime),?,Wann sind alle Dokumente zu einem Auftrag in rvGutachten einsehbar,yyyy-mm-ddTHH:M M:SSZ,,,,,,,,,,,,,,,,,,,,
Auftrag,einbestellDatum,string(date),?,"Das Datum, zu dem der Proband eingestellt ist. Wird von rvSMD eingetragen und ist relevant für die Mahnungen.",yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,
Auftrag,dokumente,Document,+,"Medizinische Dokumente und Gutachter-Dokumente (z.B. Anschreiben / Auftrag, Information über Bevollmächtigten etc.)",,1,,,,,,,,,,,,,,,,,,,
Auftrag,mahnungen,Mahnung,*,,,,,,,,,,,,,,,,,,,,,,
Gutachten,,,,,,,,,,,,,,,,,,,,,,,,,
Gutachten,auftragsId,string(uuid),1,die ID des Gutachtenauftrages,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",,,,,,,,,,,,,,,,,,,,
Gutachten,s0080,S0080,1,Gutachtenformular,,,,,,,,,,,,,,,,,,,,,
Gutachten,anhang,Document,*,"dem Gutachten angehangene Dokumente, wie Befunde etc.",,,,,,,,,,,,,,,,,,,,,
Gutachten,begonnenAm,string(datetime),1,,yyyy-mm-ddTHH:M M:SSZ,,,,,,,,,,,,,,,,,,,,
Gutachten,fertiggestelltAm,stirng(datetime),?,,yyyy-mm-ddTHH:M M:SSZ,,,,,,,,,,,,,,,,,,,,
Gutachtenstatus,,,,,,,,,,,,,,,,,,,,,,,,,
Gutachtenstatus,status,ENUM,1,"""neu"", ""einbestellt"" , ""in Bearbeitung"", ""abgeschlossen"", ""storniert"", ""Stellungnahme angefordert"" <= Klärung in Sprint 5",,1,,,,,,,,,,,,,,,,,,,
Gutachtenstatus,changedOn,string(timestmp),1,Wann wurde der Status geändert,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Mahnung,,,,,,,,,,,,,,,,,,,,,,,,,
Mahnung,gemahntAm,string(datetime),1,,yyyy-mm-ddTHH:M M:SSZ,,,,,,,,,,,,,,,,,,,,
Mahnung,nummerDerMahnung,number(1),1,,"2
max. 1 Ziffer",,,,,,,,,,,,,,,,,,,,
Mahnung,inhalt,string,1,XML? für Ausbaustufe n zu klären!,,,,,,,,,,,,,,,,,,,,,
Document,,,,,,,,,,,,,,,,,,,,,,,,,
Document,documentId,string(uuid),1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
Document,metadata,DocumentMetadata,1,Verweis,,1,,,,,,,,,,,,,,,,,,,
Document,acl,DocumentAccess,?,"falls Leseberechtigung eingeschränkt ist, gibt es hier entsprechende Einträge mit userId",,,,,,,,,,,,,,,,,,,,,
Document,data,binary,1,Der Stream der Daten,,1,,,,,,,,,,,,,,,,,,,
Träger,,,,,,,,,,,,,,,,,,,,,,,,,
Träger,Kennung,string,1,Trägerkennung: KTAN,,,,,,,,,,,,,,,,,,,,,
Träger,Name,string,1,Name des Trägers,,,,,,,,,,,,,,,,,,,,,
Träger,adresse,Adresse,*,Verweis,,,,,,,,,,,,,,,,,,,,,
Nachricht,,,,,,,,,,,,,,,,,,,,,,,,,
Nachricht,timestamp,string(timestamp),1,yyyy-mm-ddTHH:MM:SSZ,,1,,,,,,,,,,,,,,,,,,,
Nachricht,sender,Kontakt,1,Versender der Nachricht,,,,,,,,,,,,,,,,,,,,,
Nachricht,receiver,Kontakt,1,Empfänger der Nachricht,,,,,,,,,,,,,,,,,,,,,
Nachricht,Titel,string,1,Betreff,,1,,,,,,,,,,,,,,,,,,,
Nachricht,text,string,?,Text der Nachricht,,,,,,,,,,,,,,,,,,,,,
Nachricht,gelesen,bool,1,Flag,,1,,,,,,,,,,,,,,,,,,,
DocumentMetadata,,,,,,,,,,,,,,,,,,,,,,,,,
Document,name,string,1,Der Anzeigename / kurze Beschreibung,,1,,,,,,,,,,,,,,,,,,,
Document,filesize,number(int),?,Größe in Bytes,,1,,,,,,,,,,,,,,,,,,,
Document,erstelltAm,string(timestamp),?,"Wann wurde das Dokument erstellt, nicht hier eingestellt yyyy-mm-ddTHH:MM:SSZ - bei rvPuR-Dokumenten der timestamp von rvPuR, bei hochgeladenen Dokumenten ist es das erstelldatum der jeweiligen Datei aus den Dateieigenschaften → muss also von einem client gesetzt werden können",,,,,,,,,,,,,,,,,,,,,
Document,erstelltVon,string(uuid),?,uuid des users (auch techn. User haben eine uuid),"550e8400-e29b-41d4-a716-446655440000
36 Stellen",,,,,,,,,,,,,,,,,,,,
Document,eingestelltAm,string(timestamp),1,Wann wurde das Dokument eingestellt  (format: yyyy-mm-ddTHH:MM:SSZ),,,,,,,,,,,,,,,,,,,,,
Document,filename,string,1,"Dateiname (erlaubte Zeichen: A-Z, a-z, 0-9, -, _ , . )",,1,,,,,,,,,,,,,,,,,,,
Document,filetype,string,1,Dateityp,,1,,,,,,,,,,,,,,,,,,,
Document,changedOn,stirng(timestamp),?,"yyyy-mm-ddTHH:MM:SSZ (wird auch aktualisiert, wenn sich die properties und tags ändern)",,,,,,,,,,,,,,,,,,,,,
Document,changedBy,string(uuid),?,uuid des users,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",,,,,,,,,,,,,,,,,,,,
Document,properties,"map<string,string>",1,Key-Value-Pairs von zusätzlichen Eigenschaften,,,,,,,,,,,,,,,,,,,,,
Document,tags,List,1,Liste von Strings,,,,,,,,,,,,,,,,,,,,,
Verfügbarkeit,,,,,,,,,,,,,,,,,,,,,,,,,
Verfügbarkeit,typ,ENUM,1,"""VERFÜGBAR"", ""ABWESEND""",,,,,,,,,,,,,,,,,,,,,
Verfügbarkeit,von,string(date),1,Beginn yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,
Verfügbarkeit,bis,string(date),1,Ende yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,
Notiz,,,,,,,,,,,,,,,,,,,,,,,,,
Notiz,id,string,1,Kennung,,,,,,,,,,,,,,,,,,,,,
Notiz,referenz,string,?,z.B. zu welchem Dokument,,,,,,,,,,,,,,,,,,,,,
Notiz,inhalt,string,1,Freitext,,,,,,,,,,,,,,,,,,,,,
RvSmdId,,,,,,,,,,,,,,,,,,,,,,,,,
RvSmdId,KTAN,string,1,KTAN ist die DRV-übergreifende eindeutige Nummer des Trägers bei internen Gutachten,"KTAN-Träger-Liste
2 Ziffern (führende 0 möglich!)",1,,,,,,,,,,,,,,,,,,,
RvSmdId,GutachterId,string,1,ID aus rvSMD,,1,,,,,,,,,,,,,,,,,,,
